"X","Sample.ID","d13C16","d13C18","D13C","sitecode","sitename","lat","long","country","group","group_order","bin","grouping","grouping_order","culture","vessel","aquatic_res","source"
1,"MOIII005",-26.67109235,-25.85029688,0.82079547,"MIKR","Mikri Volvi",40.745,22.978,"Greece","Greece","","a","Balkans","a","EN","","b","whel2018a
"
1,"MOIII009",-28.53580545,-29.15502177,-0.61921632,"MIKR","Mikri Volvi",40.745,22.978,"Greece","Greece","","a","Balkans","a","EN","","b","whel2018a
"
1,"MOIII022",-27.07577457,-28.64160757,-1.565833,"MIKR","Mikri Volvi",40.745,22.978,"Greece","Greece","","a","Balkans","a","EN","","b","whel2018a
"
1,"MV-1",-26.2,-27.4,-1.2,"MIKR","Mikri Volvi",40.745,22.978,"Greece","Greece","","a","Balkans","a","EN","","b","whel2018a
"
1,"MV-12",-26.4,-26.7,-0.3,"MIKR","Mikri Volvi",40.745,22.978,"Greece","Greece","","a","Balkans","a","EN","","b","whel2018a
"
1,"MV-32",-25.5,-26.4,-0.9,"MIKR","Mikri Volvi",40.745,22.978,"Greece","Greece","","a","Balkans","a","EN","","b","whel2018a
"
1,"MV-39",-21,-21.4,-0.4,"MIKR","Mikri Volvi",40.745,22.978,"Greece","Greece","","a","Balkans","a","EN","","b","whel2018a
"
1,"MV-56",-25.4,-25.3,0.1,"MIKR","Mikri Volvi",40.745,22.978,"Greece","Greece","","a","Balkans","a","EN","","b","whel2018a
"
1,"MV-58",-26.1,-26.7,-0.6,"MIKR","Mikri Volvi",40.745,22.978,"Greece","Greece","","a","Balkans","a","EN","","b","whel2018a
"
1,"MV-63",-26.5,-31.3,-4.8,"MIKR","Mikri Volvi",40.745,22.978,"Greece","Greece","","a","Balkans","a","EN","","b","whel2018a
"
1,"PAL-108",-25.7,-24.8,0.9,"PALI","Paliambela",40.511,22.503,"Greece","Greece","","a","Balkans","a","MN","","b","whel2018a
"
1,"PAL-119",-25.8,-27.1,-1.3,"PALI","Paliambela",40.511,22.503,"Greece","Greece","","a","Balkans","a","MN","","b","whel2018a
"
1,"PAL-129",-25.3,-28.2,-2.9,"PALI","Paliambela",40.511,22.503,"Greece","Greece","","a","Balkans","a","MN","","b","whel2018a
"
1,"PAL-139",-24,-26.2,-2.2,"PALI","Paliambela",40.511,22.503,"Greece","Greece","","a","Balkans","a","MN","","b","whel2018a
"
1,"PAL-146",-27.4,-32.4,-5,"PALI","Paliambela",40.511,22.503,"Greece","Greece","","a","Balkans","a","MN","","b","whel2018a
"
1,"PAL-163",-27.7,-32,-4.3,"PALI","Paliambela",40.511,22.503,"Greece","Greece","","a","Balkans","a","MN","","b","whel2018a
"
1,"PAL-168",-26.5,-31,-4.5,"PALI","Paliambela",40.511,22.503,"Greece","Greece","","a","Balkans","a","MN","","b","whel2018a
"
1,"PAL-212",-25.9,-29.2,-3.3,"PALI","Paliambela",40.511,22.503,"Greece","Greece","","a","Balkans","a","MN","","b","whel2018a
"
1,"PAL-214",-18.6,-25,-6.4,"PALI","Paliambela",40.511,22.503,"Greece","Greece","","a","Balkans","a","MN","","b","whel2018a
"
1,"PAL-215",-25.4,-27.2,-1.8,"PALI","Paliambela",40.511,22.503,"Greece","Greece","","a","Balkans","a","MN","","b","whel2018a
"
1,"PAL-216",-27.7,-28.5,-0.8,"PALI","Paliambela",40.511,22.503,"Greece","Greece","","a","Balkans","a","MN","","b","whel2018a
"
