,ref,correction,fatType,Species,Provenance,sampleID,d13C16,d13C18,D13C,C16Percent,C18Percent
adipose_ruminant,Dudd 1999,corr,Adipose,Cow,Britain,C1BB,-29.3,-32.2,-2.9,28.9,21.5
adipose_ruminant,Dudd 1999,corr,Adipose,Cow,Britain,C1BK,-29.1,-31.9,-2.8,28.8,30.7
adipose_ruminant,Dudd 1999,corr,Adipose,Cow,Britain,C1BR,-30.2,-32.7,-2.5,26.1,12.5
adipose_ruminant,Dudd 1999,corr,Adipose,Cow,Britain,C2BB,-30.3,-32,-1.7,27.3,16.1
adipose_ruminant,Dudd 1999,corr,Adipose,Sheep,Britain,E8B91 (ewe orig.),-28.6,-30.4,-1.8,20.8,32.9
adipose_ruminant,Dudd 1999,corr,Adipose,Sheep,Britain,Hebridean lamb,-28.8,-31.7,-2.9,25.1,21.9
adipose_ruminant,Dudd 1999,corr,Adipose,Sheep,Britain,L1B91,-29.8,-31.6,-1.8,17.1,53.3
adipose_ruminant,Dudd 1999,corr,Adipose,Sheep,Britain,L1K91,-29.4,-30.8,-1.4,22.2,29.8
adipose_ruminant,Dudd 1999,corr,Adipose,Sheep,Britain,L2B91,-29.8,-32.2,-2.4,21,39
adipose_ruminant,Dudd 1999,corr,Adipose,Sheep,Britain,L2K91,-30.9,-32.9,-2,24.8,28.8
adipose_ruminant,Dudd 1999,corr,Adipose,Sheep,Britain,L3B91,-30.6,-32.7,-2.1,21.1,44.6
adipose_ruminant,Dudd 1999,corr,Adipose,Sheep,Britain,L3K91,-30.8,-32.6,-1.8,23.4,33.3
adipose_ruminant,Dudd 1999,corr,Adipose,Sheep,Britain,Mutton fat,-29.2,-30.5,-1.3,19.3,36.7
adipose_ruminant,Dudd 1999,corr,Adipose,Sheep,Britain,Mutton leg fat,-29.7,-31.5,-1.8,18,29.4
adipose_ruminant,Dudd 1999,corr,Adipose,Sheep,Britain,Mutton shoulder fat,-29.6,-31.5,-1.9,20.1,24
adipose_ruminant,Dudd 1999,corr,Adipose,Sheep,Britain,Ram lamb 1,-29.1,-30.8,-1.7,35.9,39.6
adipose_ruminant,Dudd 1999,corr,Adipose,Sheep,Britain,Ram lamb 2,-28.8,-30.5,-1.7,20,26.2
adipose_ruminant,Dudd 1999,corr,Dairy,Sheep,Britain,Heb lamb (post-birth),-29.4,-33.8,-4.4,30.4,25.4
adipose_ruminant,Dudd 1999,corr,Dairy,Sheep,Britain,Hebridean lamb 2,-29.8,-34.2,-4.4,26,26.4
adipose_ruminant,Dudd 1999,corr,Dairy,Cow,Britain,Mallard milk 1st,-28.2,-32.4,-4.2,35.8,14.8
adipose_ruminant,Dudd 1999,corr,Dairy,Cow,Britain,Mallard milk post birth,-31.2,-34.8,-3.6,23.9,35.6
adipose_ruminant,Dudd 1999,corr,Dairy,Cow,Britain,Sarah post birth,-27.8,-32.6,-4.8,47,11.2
